단지명,회사명,공장대표주소(도로명),전화번호
천안풍세일반산업단지,유니슨테크놀러지(주),충청남도 천안시 동남구 풍세면 풍세산단1로 35,041-577-3457
천안제3일반산업단지,알엠테크 주식회사,"충청남도 천안시 서북구 백석공단1로 10, M동412호(백석동, 천안 미래에이스하이테크시티)",041-577-1230
천안제3일반산업단지,(주)하나기전,"충청남도 천안시 서북구 백석공단1로 10, 천안미래에이스하이테크시티 M동 405호 (백석동)",041-576-8894
천안백석농공단지,파워테크(주),충청남도 천안시 서북구 백석공단1로 70 (백석동),041-576-7573
천안백석농공단지,피앤케이(P&K),충청남도 천안시 서북구 백석공단1로 70 (백석동),041-576-7573
천안백석농공단지,(주)무궁화엘앤비,충청남도 천안시 서북구 백석공단4길 11 (백석동),041-576-1081
천안제3일반산업단지,(주)티엔씨테크,"충청남도 천안시 서북구 백석공단1로 10, 천안미래에이스하이테크시티 A동 808호 (백석동)",041-575-7913
천안산업기술일반산업단지,(주)썬패치테크노,"충청남도 천안시 서북구 직산읍 직산로 136, 충남테크노파크 벤처관 1201호~1205호",041-575-4044
천안산업기술일반산업단지,자평테크,"충청남도 천안시 서북구 직산읍 직산로 136, 차세대에너지센터 208호 (천안밸리)",041-575-1280
천안제3일반산업단지,(주)케이셈,"충청남도 천안시 서북구 백석공단1로 10, 천안미래에이스하이테크시티 M동 209호 (백석동)",041-575-0943
천안제3일반산업단지,(주)케이셈테크놀러지,"충청남도 천안시 서북구 백석공단1로 10, 천안미래에이스하이테크시티 B동 503호 (백석동)",041-575-0943
천안풍세일반산업단지,(주)천음테크,충청남도 천안시 동남구 풍세면 풍세산단2로 50-3,041-574-9466
천안풍세일반산업단지,주식회사 루브텍시스템,충청남도 천안시 동남구 풍세면 용정리 1023번지,041-574-5101
천안제3일반산업단지,이수환경(주),"충청남도 천안시 서북구 백석공단1로 10, 천안미래에이스하이테크시티 M동 302호 (백석동)",041-574-2225
천안풍세일반산업단지,지티에스(주),충청남도 천안시 동남구 풍세면 보성리 713번지,041-574-0814
천안백석농공단지,에이원텍(주),"충청남도 천안시 서북구 백석공단5길 15 (백석동, 한성ENC)",041-573-6319
천안제3일반산업단지,사무기기데모센터,"충청남도 천안시 서북구 백석공단1로 10, 천안미래에이스하이테크시티 M동 303호 (백석동)",041-572-9668
천안산업기술일반산업단지,(주)이가도어산업,"충청남도 천안시 서북구 직산읍 직산로 136 (재)충남테크노파크천안밸리 번영관 2304호,  2305호",041-572-7744
천안마정일반산업단지,대양특수기계,충청남도 천안시서북구 직산읍 마정리 526번지,041-572-4765
천안마정일반산업단지,삼한농기공업(주),충청남도 천안시서북구 직산읍 마정리 487번지 마정산업단지,041-572-3771
천안제3일반산업단지,유원에이티에스,"충청남도 천안시 서북구 백석공단1로 10, 천안미래에이스하이테크시티 A동 1008호 (백석동)",041-572-3117
천안제3일반산업단지,(주)디지털,"충청남도 천안시 서북구 백석공단1로 10, 천안미래에이스하이테크시티 M동 308,309호 (백석동)",041-571-6633
천안백석농공단지,대덕안전(주),"충청남도 천안시 서북구 백석공단3길 20 (백석동, 웅진보안시스템(주))",041-571-5386
천안제3일반산업단지,디오엔지니어링,"충청남도 천안시 서북구 백석공단1로 10, 천안미래에이스하이테크시티 M동 B110호 (백석동)",041-571-3863
천안제5일반산업단지,(주)위파,충청남도 천안시 동남구 수신면 5산단5로 33,041-571-3711
천안산업기술일반산업단지,(주)굿에어,"충청남도 천안시 서북구 직산읍 직산로 136, 생산관 2304호(충남테크노파크)",041-571-0221
천안제5일반산업단지,(주)켐플러스,충청남도 천안시 동남구 성남면 5산단2로 20,041-570-8992
천안제5일반산업단지,대전충남양돈축산업협동조합 포크빌축산물공판장,충청남도 천안시 동남구 성남면 5산단1로 81,041-570-1332
천안제3일반산업단지,(주)스쿱,"충청남도 천안시 서북구 백석공단1로 10, 천안미래에이스하이테크시티 M동 404호 (백석동)",041-569-9645
천안제4일반산업단지,아이벡,충청남도 천안시 서북구 직산읍 4산단1길 70,041-569-8700
천안산업기술일반산업단지,주식회사 비엠이,"충청남도 천안시 서북구 직산읍 직산로 136, 2차 전지기술센터 210호, 211호, 212호(충남테크노파크) (직산읍)",041-569-5757
천안5산단외국인투자지역,칸토덴카화인프로덕츠한국(주),충청남도 천안시 동남구 수신면 신풍리 614번지,041-569-4562
천안제3일반산업단지,(주)한국펫푸드연구소,"충청남도 천안시 서북구 백석공단1로 10, 천안미래에이스하이테크시티 M동 401호 (백석동)",041-569-4423
천안제3일반산업단지,(주)베스텍 일호지점,"충청남도 천안시 서북구 백석공단1로 10, 천안미래에이스하이테크시티 M동 B105, A동 604,605호 (백석동)",041-569-2940
천안백석농공단지,조이텍,"충청남도 천안시 서북구 백석공단1로 47 (백석동, (주)비젼테크놀로지)",041-569-2255
천안풍세일반산업단지,(주)한국코스모,충청남도 천안시 동남구 풍세면 풍세산단로 172,041-569-0801
천안풍세일반산업단지,주식회사 한국코스모,충청남도 천안시 동남구 풍세면 보성리 815번지,041-569-0801
천안제4일반산업단지,(주)디알테크,충청남도 천안시 서북구 직산읍 4산단3로 96 ((주)디엠케이공장),041-569-0711
천안제4일반산업단지,(주)지아이베큠,충청남도 천안시 서북구 직산읍 2공단5로 97-34,041-568-8826
천안제4일반산업단지,(주)지아이베큠,충청남도 천안시 서북구 직산읍 4산단4로 11,041-568-8826
천안제4일반산업단지,(주)엔시스,충청남도 천안시 서북구 직산읍 2공단5로 117-10,041-568-7222
천안제2일반산업단지,벨금속공업(주),충청남도 천안시 서북구 2공단7길 27 (차암동),041-568-5222
천안제3일반산업단지,우리시스템,"충청남도 천안시 서북구 백석공단1로 10, 천안미래에이스하이테크시티 M동 435호, B125호 (백석동)",041-568-4955
천안산업기술일반산업단지,(주)프라스,"충청남도 천안시 서북구 직산읍 직산로 136, 충남테크노파크 생산관 3107, 3108호",041-568-3132
천안직산농공단지,삼성인터내쇼날,충청남도 천안시 서북구 직산읍 부송1길 62,041-568-2743
천안제4일반산업단지,(주)탑텍,충청남도 천안시 서북구 직산읍 4산단3로 133 외 1필지,041-568-1185
천안제5일반산업단지,한일특수로라(주),충청남도 천안시 동남구 수신면 신풍리 547번지,041-568-0771
천안제3일반산업단지,(주)다인폴리머,"충청남도 천안시 서북구 백석공단1로 10, 천안미래에이스하이테크시티 M동 313호 (백석동)",041-567-9140
천안제2일반산업단지,주식회사 탑나노시스 ,"충청남도 천안시 서북구 2공단3로 59, 2층(업성동)",041-567-7400
천안백석농공단지,씨앤티컴퍼니,"충청남도 천안시 서북구 백석공단6길 36, 3동 1층 (백석동)",041-567-6796
천안산업기술일반산업단지,(주)알티자동화,"충청남도 천안시 서북구 직산읍 직산로 136, 번영관 3308호(충남테크노파크)",041-567-5580
천안산업기술일반산업단지,주식회사 유유랑컴퍼니,"충청남도 천안시 서북구 직산읍 직산로 136, 충남테크노파크 정보영상관 511호",041-567-3848
천안외국인투자지역,(주)에이씨코스메틱스,"충청남도 천안시 서북구 백석공단7로 60, (주)에이씨코스메틱스 (백석동, (주)아크로스)",041-567-2334
천안제2일반산업단지,일진열기 주식회사,충청남도 천안시 서북구 2공단7길 15 (차암동),041-567-2193
천안제2일반산업단지,일진열기 주식회사 ,충청남도 천안시 서북구 2공단1로 148 (차암동),041-567-2193
천안백석농공단지,(주)동국일렉콘스,충청남도 천안시서북구 백석동 555-31번지 백석농공단지,041-567-1236
천안제5일반산업단지,(주)영공 천안지점,충청남도 천안시 동남구 성남면 대화리 351번지 외 1필지,041-567-0084
천안직산농공단지,(주)제이엠,충청남도 천안시서북구 직산읍 부송리 72-14번지,041-566-8700
천안제3일반산업단지,법무사.행정사 김기원 사무소,"충청남도 천안시 서북구 백석공단1로 10, 천안미래에이스하이테크시티 A동 908호 (백석동)",041-566-8668
천안제2일반산업단지,광명산업㈜중앙연구소,충청남도 천안시 서북구 2공단1로 155 (차암동),041-566-8612
천안백석농공단지,(주)퍼슨,충청남도 천안시 서북구 백석공단1로 47 (백석동),041-566-8283
천안목천농공단지,제이에스전선(주) 목천공장,충청남도 천안시 동남구 목천읍 학수소사길 219-27,041-566-5641
천안5산단외국인투자지역,(주)제이씨유코리아,충청남도 천안시 동남구 성남면 5산단1로 96,041-566-4095
천안풍세일반산업단지,주식회사 연희,충청남도 천안시 동남구 풍세면 용정리 980번지 외 2필지,041-566-4091
천안제5일반산업단지,썬프로로시스템 코리아(주),충청남도 천안시 동남구 성남면 5산단3로 1,041-566-3266
천안제4일반산업단지,(주)에스에프이,충청남도 천안시 서북구 직산읍 4산단4로 42,041-566-3070
천안제5일반산업단지,(주)성우,충청남도 천안시 동남구 성남면 5산단2로 133,041-566-3054
천안풍세일반산업단지,(주)지에스아이 ,충청남도 천안시 동남구 풍세면 풍세산단로 215,041-566-2519
천안제4일반산업단지,(주)제이스,"충청남도 천안시 서북구 직산읍 4산단5길 25-4, C동 112호",041-566-1242
천안산업기술일반산업단지,지브이엠(주),충청남도 천안시 서북구 직산읍 직산로 136 (재)충남테크노파크천안밸리 성공관 101호,041-566-0334
천안풍세일반산업단지,(주)지컴,충청남도 천안시 동남구 풍세면 풍세산단1로 43,041-565-9720
천안풍세일반산업단지,이노에프앤아이주식회사,충청남도 천안시 동남구 풍세면 풍세산단로 122 외 1필지,041-565-9464
천안직산농공단지,라이트산업(주),충청남도 천안시 서북구 직산읍 부송1길 62,041-565-7795
천안풍세일반산업단지,대아툴(주),충청남도 천안시 동남구 풍세면 풍세산단로 200,041-565-5114
천안제3일반산업단지,티앤테크,"충청남도 천안시 서북구 백석공단1로 10, 천안미래에이스하이테크시티 M동 B106호 (백석동)",041-565-4172
천안제3일반산업단지,태광산업,"충청남도 천안시 서북구 백석공단1로 10, 천안미래에이스하이테크시티 M동 B107호, A동 702호 (백석동)",041-565-4171
천안풍세일반산업단지,(주)서창테크,충청남도 천안시 동남구 풍세면 풍세산단로 194,041-565-3944
천안제3일반산업단지,(주)정도에너텍,"충청남도 천안시 서북구 백석공단1로 10, 천안미래에이스하이테크시티 B동 807호 (백석동)",041-565-3388
천안제3일반산업단지,(주)에이스테크,"충청남도 천안시 서북구 백석공단1로 10, 천안미래에이스하이테크시티 M동 B112호 (백석동)",041-565-2303
천안풍세일반산업단지,(주)엔브이시스,충청남도 천안시 동남구 풍세면 풍세산단3로 20,041-565-0321
천안제2일반산업단지,그랜텍 주식회사,충청남도 천안시 서북구 2공단1로 168 (차암동),041-564-8005
천안외국인투자지역,(주)우창코넥타,충청남도 천안시 서북구 3공단4로 40 (백석동),041-564-7370
천안외국인투자지역,(주)우창코넥타 제2공장,충청남도 천안시 서북구 3공단2로 50 (백석동) 외 1필지,041-564-7370
천안백석농공단지,(주)에스아이티,충청남도 천안시 서북구 백석공단4길 21 (백석동),041-564-6800
천안제5일반산업단지,(주)코리아씰팩,충청남도 천안시 동남구 성남면 5산단4로 23,041-564-6263
천안외국인투자지역,브이테크놀로지코리아(주),충청남도 천안시서북구 백석동 718번지,041-564-6181
천안제2일반산업단지,주식회사 다성전자회로,충청남도 천안시 서북구 2공단7길 50 (차암동),041-564-6001
천안산업기술일반산업단지,웰스메디텍(주),"충청남도 천안시 서북구 직산읍 직산로 136, 502, 503호 (직산읍)",041-564-5532
천안제4일반산업단지,주식회사 다우텍,충청남도 천안시 서북구 직산읍 2공단5로 115,041-564-3667
천안제2일반산업단지,DK EcoV 환경미생물연구소,충청남도 천안시 서북구 2공단2로 95 (차암동) 천안테크노타운 1동 5층 501호,041-564-3457
천안제3일반산업단지,신명테크,"충청남도 천안시 서북구 백석공단1로 10, 천안미래에이스하이테크시티 A동 1014호 (백석동)",041-564-3017
천안산업기술일반산업단지,(주)하이워드,충청남도 천안시서북구 직산읍 삼은리 43-1번지 천안밸리 번영관4201~3호,041-564-0922
천안풍세일반산업단지,(주)피티엘,"충청남도 천안시 동남구 풍세면 풍세산단로 155, 풍세일반산업단지 A5-4",041-564-0904
천안마정일반산업단지,진성엔프라(주),충청남도 천안시서북구 직산읍 마정리 525번지,041-564-0552
천안제3일반산업단지,자이온소프트,"충청남도 천안시 서북구 백석공단1로 10, 천안미래에이스하이테크시티 B동 709,710호 (백석동)",041-564-0204
천안제2일반산업단지,주식회사 보명하이텍,"충청남도 천안시 서북구 2공단3로 59, (업성동625-7) (업성동)",041-564-0061
천안직산농공단지,대일공업(주),충청남도 천안시 서북구 직산읍 부송1길 83 ((주)대일공업),041-563-6341
천안풍세일반산업단지,(주)비앤씨 화장품,충청남도 천안시 동남구 풍세면 풍세산단로 134,041-563-6116
천안백석농공단지,신흥전자,충청남도 천안시서북구 백석동 555-29번지,041-563-4410
천안마정일반산업단지,대륙기계,충청남도 천안시서북구 직산읍 마정리 504번지,041-563-3125
천안백석농공단지,(주)남양전기,"충청남도 천안시 서북구 백석공단3길 66 (백석동, (주)대명)",041-563-2819
천안백석농공단지,뉴텍,충청남도 천안시서북구 백석동 555-31번지,041-563-0703
천안산업기술일반산업단지,씨컨트롤,"충청남도 천안시 서북구 직산읍 직산로 136, 충남테크노파크 생산관 2106호",041-563-0353
천안제2일반산업단지,정공사,"충청남도 천안시 서북구 2공단3로 65 (업성동, 지엠씨텍)",041-562-8266
천안산업기술일반산업단지,제이엘솔루션(주),"충청남도 천안시 서북구 직산읍 직산로 136, 번영관 4104호, 4105호",041-562-2341
천안제3일반산업단지,우성텍 주식회사,"충청남도 천안시 서북구 백석공단1로 10, 천안미래에이스하이테크시티 B동 911호 (백석동)",041-562-1449
천안산업기술일반산업단지,(주)비엘디,"충청남도 천안시 서북구 직산읍 직산로 136, 충남테크노파크 번영관 1101호 (천안밸리)",041-561-8130
천안마정일반산업단지,(주)삼정그린텍,충청남도 천안시 서북구 직산읍 마정1길 15,041-561-7773
천안제5일반산업단지,창인특장,충청남도 천안시 동남구 성남면 5산단3로 65,041-561-7741
천안외국인투자지역,(주)주환바이오.셀,충청남도 천안시 서북구 3공단2로 30 (백석동),041-561-7708
천안백석농공단지,(주)주환바이오.셀,충청남도 천안시서북구 백석동 555-30번지,041-561-7706
천안제3일반산업단지,(주)지앤아이,"충청남도 천안시 서북구 백석공단1로 10, 천안미래에이스하이테크시티 B동 906호 (백석동)",041-561-5461
천안제3일반산업단지,미래메디엔텍(주),"충청남도 천안시 서북구 백석공단1로 10, 천안미래에이스하이테크시티 A동 505호 (백석동)",041-561-2547
천안풍세일반산업단지,다원씨티에스,충청남도 천안시 동남구 풍세면 보성리 0-0번지 풍세일반산업단지 A17-2,041-561-2530
천안풍세일반산업단지,주식회사 다원씨티에스,충청남도 천안시 동남구 풍세면 풍세산단로 15,041-561-2530
천안제5일반산업단지,(주)디에스켐,충청남도 천안시 동남구 성남면 대화리 357번지,041-561-1952
천안외국인투자지역,(주)티아이오토모티브,"충청남도 천안시 서북구 3공단4로 11 (차암동, TIAutomotive)",041-560-8800
천안제3일반산업단지,삼성SDI(주),"충청남도 천안시 서북구 번영로 467 (성성동, 삼성SDI(주))",041-560-3115
천안외국인투자지역,프렉스에어서피스테크놀로지스(주),충청남도 천안시서북구 백석동 743번지,041-560-2400
천안외국인투자지역,(주)티아이오토모티브,충청남도 천안시서북구 백석동 708번지 외 1필지,041-560-2000
천안천흥일반산업단지,현대스틸산업(주),충청남도 천안시 서북구 성거읍 천흥8길 18-9,041-560-1826
천안제3일반산업단지,미래산업(주),"충청남도 천안시 서북구 백석공단7로 65 (백석동, 미래산업(주))",041-559-8724
천안제2일반산업단지,대상라이프사이언스 주식회사 천안2공장,충청남도 천안시 서북구 2공단2로 112 (업성동),041-559-7225
천안제2일반산업단지,대상라이프사이언스 주식회사 천안공장 ,충청남도 천안시 서북구 2공단5로 51 (차암동),041-559-7225
천안제2일반산업단지,대상 주식회사 천안공장,충청남도 천안시 서북구 2공단5로 51 (차암동),041-559-7200
천안제2일반산업단지,하니웰애널리틱스주식회사(천안지점),충청남도 천안시 서북구 2공단2로 28 (성성동),041-559-4639
천안제2일반산업단지,한국하니웰 주식회사(천안공장),"충청남도 천안시 서북구 2공단2로 28 (차암동, 한국하니웰(주))",041-559-4539
천안제2일반산업단지,국제엘렉트릭코리아(주),"충청남도 천안시 서북구 2공단8길 46 (차암동, 국제엘렉트릭코리아(주))",041-559-1781
천안천흥일반산업단지,한국피앤지(유),충청남도 천안시 서북구 성거읍 천흥8길 73 (한국피앤지(주)),041-559-0004
천안제2일반산업단지,거성라이트(주),"충청남도 천안시 서북구 2공단2로 95 (차암동, 천안테크노타운)",041-558-9967
천안제5일반산업단지,에스엘티 주식회사,충청남도 천안시 동남구 수신면 5산단5로 27,041-558-8876
천안제2일반산업단지,주식회사 제이씨엘로보타 ,"충청남도 천안시 서북구 2공단3로 15-1, 에이동 1-1, 1-2(성성동)",041-558-8540
천안백석농공단지,(주)한국환경기술,충청남도 천안시 서북구 백석공단4길 15 (백석동),041-558-7700
천안외국인투자지역,(주)화이트스톤,충청남도 천안시서북구 백석동 745-2번지,041-558-5800
천안제3일반산업단지,주식회사 유소년교육연구소,"충청남도 천안시 서북구 백석공단1로 10, A동 509호, A동 510호(백석동, 천안 미래에이스하이테크시티)",041-558-5530
천안백석농공단지,지엔에스티(주),충청남도 천안시 서북구 백석공단1로 34 (백석동) 외 1필지,041-558-5080
천안5산단외국인투자지역,(주)코벤티아코리아,충청남도 천안시 동남구 성남면 5산단3로 77-8,041-558-2921
천안백석농공단지,주식회사 기산,충청남도 천안시 서북구 백석공단4길 8 (백석동),041-558-0738
천안산업기술일반산업단지,신화에코필(주),"충청남도 천안시 서북구 직산읍 직산로 136, 충남테크노파크 번영관 3301호, 3302호, 3306호, 3307호",041-558-0215
천안제2일반산업단지,스페셜메디칼,"충청남도 천안시 서북구 2공단2로 95, 1동 2층 204호(차암동, 천안테크노타운) 1동 2층 204호",041-558-0188
천안제2일반산업단지,(주)맥스텍,"충청남도 천안시 서북구 2공단2로 95, 4층 402호 (차암동, 천안테크노타운)",041-557-7600
천안제2일반산업단지,주식회사 맥스텍,"충청남도 천안시 서북구 2공단2로 95, 5층 508호 (차암동, 천안테크노타운)",041-557-7600
천안산업기술일반산업단지,씨티아이코리아(주),"충청남도 천안시 서북구 직산읍 직산로 136, 충남테크노파크 영상미디어센터 연구동 315호,316호,317호",041-557-5200
천안제3일반산업단지,씨티아이코리아 주식회사,"충청남도 천안시 서북구 백석공단1로 10, M동 327호(백석동, 천안 미래에이스하이테크시티)",041-557-5200
천안제5일반산업단지,(주)동명케미칼,충청남도 천안시 동남구 성남면 5산단2로 36,041-557-3395
천안제5일반산업단지,(주)한일정밀2공장,충청남도 천안시 동남구 수신면 5산단5로 39,041-557-3060
천안제3일반산업단지,(주)에이치앤씨시스템,"충청남도 천안시 서북구 백석공단1로 10, 천안미래에이스하이테크시티 M동 208호 (백석동)",041-557-2918
천안백석농공단지,대서푸드,충청남도 천안시 서북구 백석공단4길 15 (백석동),041-557-0224
천안백석농공단지,채움푸드,충청남도 천안시 서북구 백석공단4길 8 (백석동),041-556-8840
천안제5일반산업단지,(주)모아캠,충청남도 천안시 동남구 성남면 5산단2로 91,041-556-7752
천안풍세일반산업단지,알엠에스 테크놀러지(주),충청남도 천안시 동남구 풍세면 풍세산단1로 55 외 1필지,041-556-7600
천안풍세일반산업단지,알엠에스테크놀러지(주),충청남도 천안시 동남구 풍세면 보성리 730번지,041-556-7600
천안풍세일반산업단지,(주)우성케미칼,"충청남도 천안시 동남구 풍세면 풍세산단로 150, (풍세일반산업단지 A4-1)",041-556-6250
천안풍세일반산업단지,(주)우성케미칼,충청남도 천안시 동남구 풍세면 용정리 1024번지,041-556-6250
천안백석농공단지,(주)돈가식품,충청남도 천안시서북구 백석동 555-23번지,041-556-2000
천안제5일반산업단지,에코리서치(주),충청남도 천안시 동남구 성남면 대화리 361번지,041-555-9071
천안직산농공단지,주식회사 다우텍,충청남도 천안시 서북구 직산읍 부송1길 48,041-555-8932
천안풍세일반산업단지,케이.알.피,충청남도 천안시 동남구 풍세면 풍세산단로 190,041-555-8480
천안제3일반산업단지,하늘조명,"충청남도 천안시 서북구 백석공단1로 10, 천안미래에이스하이테크시티 M동 B121호 (백석동)",041-555-8398
천안백석농공단지,(주)유셀,충청남도 천안시 서북구 백석공단3길 27 (백석동),041-555-7880
천안백석농공단지,(주)쵸이스코스메틱,충청남도 천안시서북구 백석동 555-45번지,041-555-5407
천안제3일반산업단지,(주)삼화에너지,"충청남도 천안시 서북구 백석공단1로 10, 천안미래에이스하이테크시티 B동 1006호 (백석동)",041-555-5180
천안제3일반산업단지,(주)덕산스틸,"충청남도 천안시 서북구 백석공단1로 10, 천안미래에이스하이테크시티 M동 321호 (백석동)",041-555-4143
천안제2일반산업단지,(주)아이에스엠,"충청남도 천안시 서북구 2공단3로 15, A-2F (성성동)",041-555-2901
천안제4일반산업단지,(주)에이엔에이치,"충청남도 천안시 서북구 직산읍 4산단5길 11-1, B동 104호",041-555-2652
천안제5일반산업단지,농업회사법인(주)고가네 제2공장,충청남도 천안시 동남구 성남면 5산단1로 81,041-555-1855
천안제2일반산업단지,주식회사 지엠씨텍,충청남도 천안시 서북구 2공단3로 65 (업성동),041-555-1412
천안제3일반산업단지,(주)명문이엔지,"충청남도 천안시 서북구 백석공단1로 10, 천안미래에이스하이테크시티 B동 909,910호 (백석동)",041-555-0641
천안산업기술일반산업단지,(주)티앨에스티,"충청남도 천안시 서북구 직산읍 직산로 136, 충남테크노파크 천안밸리 생산관 2201~3호",041-555-0248
천안천흥일반산업단지,(주)아름다운화장품,충청남도 천안시 서북구 성거읍 천흥8길 55 (아름다운화장품),041-554-9000
천안제4일반산업단지,(주)와이엔씨,"충청남도 천안시 서북구 직산읍 4산단5길 11-1, B동 105호",041-554-7792
천안백석농공단지,(주)시원물산,충청남도 천안시서북구 백석동 555-55번지,041-554-7522
천안백석농공단지,(주)신화인텍,충청남도 천안시서북구 백석동 555-50번지,041-554-7349
천안풍세일반산업단지,JM텍(제이엠텍),충청남도 천안시 동남구 풍세면 풍세산단4로 34,041-554-6769
천안백석농공단지,(주)한국워터미터테크,충청남도 천안시 서북구 백석공단4길 8 (백석동),041-554-5752
천안제3일반산업단지,(주)해옴,"충청남도 천안시 서북구 백석공단1로 10, 천안미래에이스하이테크시티 B동 702호 (백석동)",041-554-5458
천안백석농공단지,태현테크,충청남도 천안시서북구 백석동 555-30번지,041-554-5045
천안백석농공단지,석화제약,충청남도 천안시 서북구 백석공단1로 70 (백석동),041-554-4559
천안백석농공단지,에스엔제이코스메틱주식회사,충청남도 천안시 서북구 백석공단3길 27 (백석동),041-554-3618
천안제2일반산업단지,일진산업사,"충청남도 천안시 서북구 2공단6길 7 (차암동, 일진산업(주))",041-554-2462
천안제2일반산업단지,주식회사 굿투비텍,"충청남도 천안시 서북구 2공단2로 97, 1동 5층 505호(차암동) 1동 5층 505호",041-554-2253
천안백석농공단지,(주)에스디이엔지,충청남도 천안시서북구 백석동 555-53 번지,041-554-1903
천안백석농공단지,(주)보성테크,충청남도 천안시서북구 백석동 555-56번지,041-554-0668
천안백석농공단지,아인코스(주),"충청남도 천안시 서북구 백석공단1로 79, G동 (백석동, 현대정기)",041-554-0615
천안백석농공단지,청실홍실,"충청남도 천안시 서북구 백석공단3길 66 (백석동, (주)대명)",041-553-6364
천안백석농공단지,충청정보통신(주),충청남도 천안시서북구 백석동 555-56번지,041-553-5858
천안제3일반산업단지,제이피이엔지(주),"충청남도 천안시 서북구 백석공단1로 10, 천안미래에이스하이테크시티 A동 508호 (백석동)",041-553-4911
천안백석농공단지,신화공업,"충청남도 천안시 서북구 백석공단4길 12 (백석동, 신화공업)",041-553-4709
천안풍세일반산업단지,나렛테크노,충청남도 천안시 동남구 풍세면 용정리 979번지,041-553-3188
천안백석농공단지,비엔케이(주),"충청남도 천안시 서북구 백석공단1로 91 (백석동, BNK(주))",041-553-2732
천안백석농공단지,(주)뉴앤뉴,충청남도 천안시 서북구 백석공단1로 85 (백석동),041-553-1610
천안풍세일반산업단지,하이켐,"충청남도 천안시 동남구 풍세면 풍세산단로 155, 풍세일반산업단지 A5-4",041-553-1436
천안마정일반산업단지,유니크티에스,충청남도 천안시 서북구 직산읍 마정1길 27,041-553-0616
천안제5일반산업단지,(주)신라정밀,충청남도 천안시 동남구 성남면 5산단2로 134,041-552-9801
천안제4일반산업단지,성원테크,"충청남도 천안시 서북구 직산읍 4산단1길 31, 신갈리 258",041-552-9572
천안제4일반산업단지,성원테크,"충청남도 천안시 서북구 직산읍 4산단5길 25-6, C동 111호",041-552-9572
천안백석농공단지,(주)엠이씨,"충청남도 천안시 서북구 백석공단3길 24 (백석동, (주)MEC)",041-552-9462
천안백석농공단지,(주)케이원전자,충청남도 천안시서북구 백석동 555-21번지,041-552-8272
천안백석농공단지,에스바이켐,충청남도 천안시서북구 백석동 555-56번지,041-552-8272
천안제4일반산업단지,(주)케이원전자,충청남도 천안시서북구 직산읍 모시리 286번지,041-552-8272
천안제3일반산업단지,(주)클레어,"충청남도 천안시 서북구 백석공단1로 10, 천안미래에이스하이테크시티 B동 1009호 (백석동)",041-552-7997
천안제3일반산업단지,빅웨이브,"충청남도 천안시 서북구 백석공단1로 10, 천안미래에이스하이테크시티 A동 905호 (백석동)",041-552-7555
천안제3일반산업단지,메저시스템,"충청남도 천안시 서북구 백석공단1로 10, 천안미래에이스하이테크시티 M동 413호, 414호 (백석동)",041-552-7214
천안풍세일반산업단지,(주)라미텍,충청남도 천안시 동남구 풍세면 풍세산단로 226-18,041-552-7100
천안풍세일반산업단지,(주)빌덱스,충청남도 천안시 동남구 풍세면 풍세산단3로 71,041-552-6642
천안백석농공단지,(주)한조,"충청남도 천안시 서북구 백석공단1로 94 (백석동, (주)한조)",041-552-6622
천안백석농공단지,(주)켐코,충청남도 천안시 서북구 백석공단3길 33 (백석동),041-552-6231
천안백석농공단지,삼진공업(주),"충청남도 천안시 서북구 백석공단1로 55, (백석농공단지내) (백석동)",041-552-5951
천안5산단외국인투자지역,(주)아마쎌지오스에어로젤스,충청남도 천안시 동남구 성남면 대화리 337번지 외 1필지,041-552-4910
천안풍세일반산업단지,(주)유창이앤씨,충청남도 천안시 동남구 풍세면 풍세산단3로 47,041-552-4042
천안풍세일반산업단지,주식회사 유창,충청남도 천안시 동남구 풍세면 풍세산단3로 47 외 1필지,041-552-4042
천안백석농공단지,대성전자(주),충청남도 천안시서북구 백석동 555-47번지,041-552-3831
천안제5일반산업단지,(주)아이디,충청남도 천안시 동남구 수신면 5산단4로 46,041-552-3473
천안제5일반산업단지,주식회사 아이디 제2공장,충청남도 천안시 동남구 수신면 5산단5로 3,041-552-3473
천안제4일반산업단지,티피텍(주),충청남도 천안시서북구 직산읍 모시리 277번지,041-552-3440
천안백석농공단지,동흥전자(주),충청남도 천안시서북구 백석동 555-31번지,041-552-3307
천안제3일반산업단지,티에스엔지니어링(주),"충청남도 천안시 서북구 백석공단1로 10, 천안미래에이스하이테크시티 M동 409호 (백석동)",041-552-2671
천안백석농공단지,금호산업(주),충청남도 천안시 서북구 백석공단3길 55 (백석동),041-552-2233
천안제5일반산업단지,제원시스템 주식회사,충청남도 천안시 동남구 성남면 5산단3로 47,041-552-1908
천안제5일반산업단지,(주)제원테크,충청남도 천안시 동남구 성남면 대화리 346번지,041-552-1907
천안백석농공단지,삼화기전(주),"충청남도 천안시 서북구 백석공단1로 80 (백석동, 삼화기전(주))",041-552-1574
천안백석농공단지,두리이엔지,충청남도 천안시서북구 백석동 555-37번지,041-552-1541
천안제4일반산업단지,(주)타보스,충청남도 천안시 서북구 직산읍 4산단3로 36-6,041-552-1512
천안백석농공단지,(주)건화서비스,충청남도 천안시서북구 백석동 555-31번지,041-552-1448
천안백석농공단지,(주)범양사 천안공장,"충청남도 천안시 서북구 백석공단3길 46 (백석동, 범양사천안공장)",041-552-0958
